序号,区属,项目名称,项目地址,开发企业,可售住宅总规模（O）
1,江岸区,福星惠誉星誉国际,红桥村K7、K8、K15地块,湖北福星惠誉三眼桥置业有限公司,78421.68
2,江岸区,武地・融创御央首府,丹水池街解放大道以西、兴业路以南,武汉地控馨盛置业有限公司,50844.44
3,江岸区,幸福时代・大家,后湖街十大家村K2地块,武汉统建百步亭联合置业有限公司,13488
4,江汉区,顶L国际城B区,发展大道与马场二路交汇处,武汉乾敬置业发展有限公司,45594.78
5,江汉区,融创玖玺台,唐家墩街牯牛洲街和新华路交汇处,湖北长源房地产开发有限责任公司,55678.99
6,江汉区,远洋万和四季,贺家墩村,湖北福星惠誉常青置业有限公司,17353.82
7,~口区,千禧城,永利村,武汉金林房地产开发有限公司,66132.88
8,~口区,融创一江源,宗关街解放大道241-1号,武汉融灏房地产开发有限公司,69611.81
9,~口区,万科华生・公园大道,东风村B包K1地块,湖北楚恒置业有限公司,83548.16
10,~口区,武地・汉樾台,常码村K2地块,武汉市常悦房地产开发有限公司,58655.28
11,~口区,兴华・尚都国际,汉西路,武汉华鼎创投置业开发有限公司,19440.73
12,汉阳区,保利庭瑞・阅江台,郭琴路以北、燎原路以东燎原村(k6地块,武汉庭瑞信置业有限公司,16740.76
13,汉阳区,方岛金茂智慧科学城,芳草路以东、四新南路以北,武汉煜茂置业有限公司,63862.74
14,汉阳区,海悦世界,江城大道与四新大道交叉口,武汉市颐磊房地产开发有限公司,64510.32
15,汉阳区,兰亭大境K2地块,老关村K2地块,武汉广申房地产开发有限公司,42156.77
16,汉阳区,融创武汉1890,琴台大道与京广铁路线交叉口西南角,武汉融景臻远房地产开发有限公司,75600
17,汉阳区,万科新世纪翡翠滨江,月湖大道以南、郭琴路以北、金龙路以东、龙阳大道以西,湖北汉江新世纪投资有限公司,17746.81
18,汉阳区,中国铁建・御湖,四新北路与四新中路交叉口西北角,中铁十一局集团房地产开发有限公司,32812.48
19,汉阳区,海格公馆,总港路以西、四新南路以北,武汉新绿文旅有限公司,52425.29
20,武昌区,龙湖天玺,中南街石牌岭路与工大路交汇处,武汉文泓置业有限公司,41088.9
21,青山区,融创临江府,红卫路街建设四路以东、武九铁路生态长廊以南、和平公园以西及以北,武汉融创思远置业有限公司,54954.94
22,青山区,武地・融创和平中心,新沟桥街和平大道以北、武九铁路以南、一冶雅苑以西、建设五路以东,武汉青悦志合房地产开发有限公司,22736.46
23,洪山区,保利上城三期,烽火村,武汉常阳润力房地产开发有限公司,31261.04
24,洪山区,碧桂园・碧乐城,南湖大道以南、珞狮南路以东,武汉狮创汇房地产开发有限公司,9260.28
25,洪山区,城联投-江南岸,武金堤路以东，白沙四路以北，夹套河路以西,武汉城鑫联房地产开发有限公司,41800.2
26,洪山区,楚天都市沁园,洪山街双沁二路2号,武汉楚天都市置业有限公司,31760.53
27,洪山区,都会山,青菱街白沙洲青菱河东路以西、丽水西路以北,武汉旭祥置业有限公司,56398.52
28,洪山区,华侨城・欢乐天际（中央区）,团结大道以南，绿岛西路以西,武汉天创置业有限公司,25791.12
29,洪山区,朗诗熙华府,徐东村,武汉朗泓置业有限公司,88751.47
30,洪山区,南益・名悦华府,青菱街建阳四路与青菱湖西路交汇处西北部,南泉（武汉）物业发展有限公司,99636.37
31,洪山区,清能・清江锦城,白沙四路66号,武汉清能普提金置业有限公司,26636.66
32,洪山区,万科保利理想城市,青菱街杨林二路以西、杨林三路以北,武汉林岸置业有限公司,25357
33,洪山区,万科新都会,岭南路9号,武汉金色万耀房地产开发有限公司,24206.74
34,洪山区,新力雅园,南湖新村旁（大洲村K5地块）,武汉福瑞德成房地产开发有限公司,6201.3
35,洪山区,中建壹品宏泰・阅江府,白沙洲大道与白沙四路交汇处,武汉宏泰宏利中建壹品置业有限公司,92441.07
36,东湖新技术开发区,光谷・十里春风,九峰街光谷四路以西、流芳园横路以南,TCL科技产业园（武汉）有限公司,18016.48
37,东湖新技术开发区,光谷悦城,佛祖岭街高新二路101号,湖北余家头房地产开发有限公司,52892.36
38,东湖新技术开发区,光谷正荣府,九峰街流芳园横路以南、紫荷路以西、玉荷街以北、豹溪路以东,武汉正楚置业发展有限公司,14390.8
39,东湖新技术开发区,花山花锦,花城大道158号,武汉铁科花山置业有限公司,14988.56
40,东湖新技术开发区,昆仑御,关东街大秦一街以南、秦云路以东、大秦二街以北,武汉中城城光房地产开发有限公司,28315.52
41,东湖新技术开发区,联投光谷瑞园,花山大道以东、大长山路以北,武汉联博房地产有限公司,19866
42,东湖新技术开发区,绿地光谷星河绘,神墩三路以南、高科园一路以西、高新二路以北、高科园路以东,武汉新高兴谷置业有限公司,11534.94
43,东湖新技术开发区,美的・雅居乐云筑,光谷二路以西、康魅路以北,武汉市鼎辉雅乐房地产开发有限公司,20407.44
44,东湖新技术开发区,南山府,神墩一路以南、高科园二路以西、神墩二路以北,武汉南控房地产开发有限公司,36566.18
45,东湖新技术开发区,南山天樾,神墩二路以南、高科园二路以西、神墩三路以北、高科园一路以东,武汉南控房地产开发有限公司,53542.43
46,东湖新技术开发区,世界城・瑜樾东方,关东街珞雄路8号,武汉市世界城置业有限公司,21803.39
47,东湖新技术开发区,新城・璞樾门第,光谷四路以西、流芳园横路以北,湖北悦龙苑房地产开发有限公司,56242.48
48,东湖新技术开发区,新希望・锦粼九里,光谷五路以西、南新街以南、新荷路以东、高新五路以北,武汉锦官置业有限公司,28798.52
49,东湖新技术开发区,中城・龙湖森林,九峰一路以南、顶冠峰路以东、九峰二路以北、光谷八路以西,武汉中城龙湖房地产开发有限公司,10959.98
50,东湖新技术开发区,中海・光谷东麓,左岭街科技二路以南、左岭大道以西、长岭山街以北、龙岭三路以东,武汉中海海耀房地产有限公司,85834.16
51,东湖新技术开发区,中建星光城,光谷三路59号,武汉鹏展置业有限公司,29114.94
52,东湖新技术开发区,居住项目（长存锦园）,左岭街科技二路以南、长山侧路以西、长岭山街以北,武汉长江存储科技服务有限公司,124119.1
53,武汉经济开发区,德信阳光城・丽景公园,50R2地块,武汉德信之光置业有限公司,27538.2
54,武汉经济开发区,佳兆业滨江新城,140R2地块,武汉市佳瑞鑫置业有限公司,6884.29
55,武汉经济开发区,金润明珠花园,141R2地块,武汉金发科技实业有限公司,14621.21
56,武汉经济开发区,融创・首创九派江山（天水碧）,军山街144R2地块,武汉融城开创投资发展有限公司,115000
57,武汉经济开发区,盛观尚城,三环线与龙阳大道交汇处,武汉地铁汉正街置业有限公司,14758.41
58,武汉经济开发区,智慧车都青年城,142R2地块,武汉智慧生态建设投资有限公司,80620.49
59,武汉经济开发区,中国城乡・香樾洲,11C36地块,湖北中城乡香樾房地产开发有限公司,18096
60,东西湖区,保利翡丽公馆,径河街吴新干线以东、滨河南路以南,武汉保置房地产开发有限责任公司,102475.39
61,东西湖区,保利悦公馆,径河街创诚路以北、径西八路以东,武汉保置房地产开发有限责任公司,93457.99
62,东西湖区,北辰金地・漾时代,泾河街金山大道以北、新城十二路以西,武汉金辰盈创置业有限公司,30725.26
63,东西湖区,碧桂园・公园里,吴家山街金山大道以南、七雄路以西,武汉锦安合顺房地产开发有限公司,13938.35
64,东西湖区,东兴华庭,金银湖街汀香北路西、马池中路北,武汉市东兴房地产开发有限公司,56060.58
65,东西湖区,东原.印未来,径河街滨河南路以南、径西六路以西,武汉迪马智睿实业有限公司,48993.51
66,东西湖区,航发星合世家,走马岭街革新大道以西、食品一路以东、开源路以北、林果路以南,武汉星启置业有限公司,66092.9
67,东西湖区,联发・璞悦府,径河街创智路以南、径西六路以西,武汉联瑞恒房地产开发有限公司,45300
68,东西湖区,武汉二十四城,径河以南、张柏路以西、金北一路两侧,武汉润雪房地产开发有限公司,59700
69,东西湖区,武汉英赫当代城MOMA(健康示范社区）,柏泉街张柏路以东、外环线以南,武汉原绿英赫置业有限公司,87854.35
70,东西湖区,中交・泓园,金银湖办事处金南二路25号,武汉锦绣雅郡置业有限公司,50842.82
71,东西湖区,中梁天玺壹号,径河街径西九路以东、金北二路以北,湖北梁宏置业有限公司,45458.85
72,蔡甸区,大集G区莲溪花园,大集街大沌南路与建五路交汇处以西,武汉悦地置业有限公司,77000
73,蔡甸区,观湖园二期,马鞍村,和记黄埔地产（武汉蔡甸）有限公司,60232.61
74,蔡甸区,光明府,L山街九康大道与常禄大街交汇处以西,武汉明利房地产开发有限公司,83873.84
75,蔡甸区,嘉兴园,汉乐村,武汉正宇置业有限公司,35341.96
76,蔡甸区,交投逸景天宸,L山街，袁岭村,武汉荣泰汇地产有限公司,18260.8
77,蔡甸区,金地朗悦,蔡甸街新天大道252号,武汉金驰耀楚置地有限公司,9175.08
78,蔡甸区,景瑞・江山悦,蔡甸街知音湖大道与新天南路交汇处以东,武汉博通世融房地产开发有限公司,28082.6
79,蔡甸区,景瑞清能・江南悦,蔡甸街新庙村,武汉瑞毅弘发房地产开发有限公司,72028.74
80,蔡甸区,开来・知音合府,蔡甸街蔡河街五层街交汇处以西（蔡甸街五层街）,武汉开茂置业有限公司,17597.46
81,蔡甸区,康桥朗城,常福大街与玛瑙四路交汇处以东,武汉康桥玖宸房地产开发有限责任公司,6395.47
82,蔡甸区,商住项目（中国铁建・知语城A地块）,汉阳大街与文兴路交汇处以西,中铁房地产武汉蔡甸有限公司,59958.08
83,蔡甸区,中粮祥云・地铁小镇,蔡甸大街与西环路交汇处以西（张湾街太山村）,武汉地悦房地产开发有限公司,38453.74
84,江夏区,保利・时光印象,大桥新区办事处龚家铺、豹山村,武汉保平金丰置业有限公司,18925
85,江夏区,惠风同庆花园三期,流芳街梁山头村,湖北惠风房地产有限公司,43358.77
86,江夏区,金茂・华发武汉国际社区,大桥产业园柏木岭街,武汉华晟乾茂置业有限公司,12200
87,江夏区,金融街・金悦府,大桥新区办事处大花岭村,湖北当代盛景投资有限公司,31057.3
88,江夏区,美的君兰半岛,大桥新区办事处柏木岭村,武汉市鼎辉房地产开发有限公司,16055.2
89,江夏区,鹏湖湾,纸坊街红旗村,武汉伟鹏房地产开发建筑有限公司,28770.28
90,江夏区,新长江通用国际城二期,金口街旭光村,湖北世纪东方房地产开发有限公司,35238.07
91,江夏区,云水居雅园,纸坊街城关村（纸坊大街北）,武汉云水居置业投资有限公司,53652.67
92,黄陂区,城投丰山府,盘龙城经济开发区楚天大道以南、宋家岗东路以西,武汉立城北上置业有限公司,25688
93,黄陂区,帝大・御Z城B区二期,盘龙城经济开发区盘龙大道以西、巨龙大道以北,纵横（武汉）盘龙城置业有限公司,138580.72
94,黄陂区,哥特帝景,盘龙城经济开发区刘古塘村,武汉市哥特房地产开发有限公司,14145.67
95,黄陂区,孔雀城壹滨江,前川街理林社区理林大道以南,武汉宝业裕科置业有限公司,26813.34
96,黄陂区,联发云Z,横店街川龙大道以东，后湖以北,武汉联瑞发房地产开发有限公司,10612.88
97,黄陂区,明想・青年汇,盘龙城经济开发区机场高速以东，汤云海路以南,湖北明想鼎盛置业有限公司,22898.6
98,黄陂区,全景・外滩C区,前川街黄陂大道以南，百兴街以东,武汉全景新地房地产开发有限公司,25391.19
99,黄陂区,山海观,盘龙城经济开发区汤云海路以南，机场高速以东,武汉恒安投资有限公司,82472.34
100,黄陂区,天池雅园,长轩岭街,武汉市木兰生态置业有限公司,61070.44
101,黄陂区,天纵・时代城,滠口街巨龙大道以北、解放大道延长线以西,武汉天纵新城置业有限公司,13368
102,黄陂区,天纵・时代天樾,武湖街新港铁路以北、胜海大道以西,武汉天纵湖韵置业有限公司,14490.64
103,黄陂区,天纵・御景湾,横店街川龙大道以东、四环线以北,武汉蓝色宝岛置业有限公司,22319.34
104,黄陂区,银禾广场,盘龙城经济开发区汉口北综合交通体以北，轻轨一号线以西，腾龙大道南侧,湖北金宜兴广置业有限公司,42976.56
105,黄陂区,中城新时代,盘龙城经济开发区巨龙大道以西，景云路以北,武汉中城时代置业发展有限公司,62584.38
106,黄陂区,天纵・御景湾,横店街红寨村,武汉蓝色宝岛置业有限公司,6840.04
107,黄陂区,长江青年城,滠口街轻轨1号线以西,长江青年城发展（武汉）有限公司,13061.09
108,新洲区,百瑞景滨江生活区,阳逻街新坳村,湖北铁投大桥地产开发有限公司,40852.73
109,新洲区,城南华府・书香世家,邾城街古城大道228号,武汉立芳洲房地产开发有限公司,26670.86
110,新洲区,楚天都市・蓝玉湾,阳逻经济开发区黄土村,武汉临江泽城房地产开发有限公司,9064.8
111,新洲区,大悦城控股|孔雀城・锦云航天府,双柳街航天北路48号,武汉裕中丰房地产开发有限公司,5456.92
112,新洲区,航天悦府,双柳街航天北路49号,武汉裕灿房地产开发有限公司,20751.64
113,新洲区,华发阳逻金茂逸墅二期,阳逻街万山村,武汉华璋房地产开发有限公司,23829.96
114,新洲区,佳阳・大都府,阳逻街开发区红岭村,湖北昊大投资有限公司,28526.08
115,新洲区,孔雀城宝业公馆,双柳街阳大公路203号,武汉裕筑房地产开发有限公司,20419.36
116,新洲区,清能熙悦台,阳逻开发区黄土村,武汉临江宏城房地产开发有限公司,72000
117,新洲区,阳逻万达广场御江,阳逻街翔飞路10号,武汉新洲万达地产开发有限公司,29120
118,新洲区,中城水岸,阳逻街平江大道以北、倒水河以西,武汉阳逻水乡度假村管理有限公司,9121.52
119,新洲区,武地・融创水韵长洲,邾城街民防路以东、古城大道以西,武汉地控津城房地产开发有限责任公司,26796.15
120,汉南区,海伦堡・金科・集美水岸,东荆街金发路以南,武汉市藩秀房地产开发有限公司,27224.76
121,汉南区,时代海伦堡印记,纱帽街坛山路以南、金城路以北,武汉钊启房地产开发有限公司,28339.62
122,汉南区,武汉恒大时代新城,东荆街育文路以西，马影河大道以北,武汉楚水云山农业开发有限公司,50393.06
123,汉南区,星悦湾,纱帽街滨河大道以东、月亮湾路以南,武汉新泽新置业有限公司,22199.06
124,汉南区,依云水岸,纱帽街纱帽大道以西、周家河路以南,武汉招春憾贾靡涤邢薰司,20856.44
125,汉南区,渝樾大观,东荆街马影河大道以北，纱帽大道以东,武汉业锦房地产开发有限公司,56395.16
126,汉南区,紫阳天玺（二期A区）,纱帽街纱帽正街,武汉紫阳天投资管理有限公司,65159.52
